intent,utterance,data
PlayMusic,Play Greg Raposo songs from the thirties,"[{'text': 'Play '}, {'text': 'Greg Raposo', 'entity': 'artist'}, {'text': ' songs from the '}, {'text': 'thirties', 'entity': 'year'}]"
PlayMusic,Open Deezer and play top 40 hits,"[{'text': 'Open '}, {'text': 'Deezer', 'entity': 'service'}, {'text': ' and play '}, {'text': 'top', 'entity': 'sort'}, {'text': ' 40 hits'}]"
BookRestaurant,Book a reservation for 6 at a restaurant in Deersville,"[{'text': 'Book a reservation for '}, {'text': '6', 'entity': 'party_size_number'}, {'text': ' at a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Deersville', 'entity': 'city'}]"
BookRestaurant,Book a table at a french restaurant for fern and I,"[{'text': 'Book a table at a '}, {'text': 'french', 'entity': 'cuisine'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'fern and I', 'entity': 'party_size_description'}]"
BookRestaurant,Book a reservation for nine at an outdoor restaurant,"[{'text': 'Book a reservation for '}, {'text': 'nine', 'entity': 'party_size_number'}, {'text': ' at an '}, {'text': 'outdoor', 'entity': 'facility'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}]"
BookRestaurant,I'd like to book a restaurant that serves pochouse in Rocksprings.,"[{'text': ""I'd like to book a ""}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'pochouse', 'entity': 'served_dish'}, {'text': ' in '}, {'text': 'Rocksprings', 'entity': 'city'}, {'text': '.'}]"
BookRestaurant,book a table at a churrascaria for august 5 that has parking,"[{'text': 'book a table at a '}, {'text': 'churrascaria', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'august 5', 'entity': 'timeRange'}, {'text': ' that has '}, {'text': 'parking', 'entity': 'facility'}]"
BookRestaurant,Asiate restaurant in Sturgeon for 7,"[{'text': 'Asiate', 'entity': 'restaurant_name'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Sturgeon', 'entity': 'city'}, {'text': ' for '}, {'text': '7', 'entity': 'party_size_number'}]"
BookRestaurant,"I want to book the distant downtown Tribeca Grill for august the twenty-third, 2025 for wilda and jacklyn","[{'text': 'I want to book the '}, {'text': 'distant', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'downtown', 'entity': 'poi'}, {'text': ' '}, {'text': 'Tribeca Grill', 'entity': 'restaurant_name'}, {'text': ' for '}, {'text': 'august the twenty-third, 2025', 'entity': 'timeRange'}, {'text': ' for '}, {'text': 'wilda and jacklyn', 'entity': 'party_size_description'}]"
BookRestaurant,casey and I will be in Kentucky for food ,"[{'text': 'casey and I', 'entity': 'party_size_description'}, {'text': ' will be in '}, {'text': 'Kentucky', 'entity': 'state'}, {'text': ' for food '}]"
BookRestaurant,Book a taverna in Wisconsin for 22:54.,"[{'text': 'Book a '}, {'text': 'taverna', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Wisconsin', 'entity': 'state'}, {'text': ' for '}, {'text': '22:54', 'entity': 'timeRange'}, {'text': '.'}]"
BookRestaurant,Please make reservations for a bar close-by in Lake Alfred.,"[{'text': 'Please make reservations for a '}, {'text': 'bar', 'entity': 'restaurant_type'}, {'text': ' '}, {'text': 'close-by', 'entity': 'spatial_relation'}, {'text': ' in '}, {'text': 'Lake Alfred', 'entity': 'city'}, {'text': '.'}]"
BookRestaurant,Book a table for six around yolanda's apartment.,"[{'text': 'Book a table for '}, {'text': 'six', 'entity': 'party_size_number'}, {'text': ' '}, {'text': 'around', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': ""yolanda's apartment"", 'entity': 'poi'}, {'text': '.'}]"
BookRestaurant,Book a joint restaurant for four with an outdoor area within the same area as Borough de Denali,"[{'text': 'Book a '}, {'text': 'joint restaurant', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'four', 'entity': 'party_size_number'}, {'text': ' with an '}, {'text': 'outdoor', 'entity': 'facility'}, {'text': ' '}, {'text': 'area within the same area', 'entity': 'spatial_relation'}, {'text': ' as '}, {'text': 'Borough de Denali', 'entity': 'poi'}]"
BookRestaurant,stacy watson and adriana want to go to the best osteria in Hallowell Minnesota this afternoon,"[{'text': 'stacy watson and adriana', 'entity': 'party_size_description'}, {'text': ' want to go to the '}, {'text': 'best', 'entity': 'sort'}, {'text': ' '}, {'text': 'osteria', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Hallowell', 'entity': 'city'}, {'text': ' '}, {'text': 'Minnesota', 'entity': 'state'}, {'text': ' this '}, {'text': 'afternoon', 'entity': 'timeRange'}]"
BookRestaurant,"Book reservations at a restaurant in New Zealand with tammi, beverly and alba","[{'text': 'Book reservations at a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'New Zealand', 'entity': 'country'}, {'text': ' with '}, {'text': 'tammi, beverly and alba', 'entity': 'party_size_description'}]"
BookRestaurant,book a pizza serving tavern for me and my brother,"[{'text': 'book a '}, {'text': 'pizza', 'entity': 'served_dish'}, {'text': ' serving '}, {'text': 'tavern', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'me and my brother', 'entity': 'party_size_description'}]"
BookRestaurant,Lets get a table for 10 at Space Aliens Grill & Bar,"[{'text': 'Lets get a table for '}, {'text': '10', 'entity': 'party_size_number'}, {'text': ' at '}, {'text': 'Space Aliens Grill & Bar', 'entity': 'restaurant_name'}]"
BookRestaurant,I want to make a reservation for a group of 4 at a churrascaria type spa,"[{'text': 'I want to make a reservation for a group of '}, {'text': '4', 'entity': 'party_size_number'}, {'text': ' at a '}, {'text': 'churrascaria', 'entity': 'restaurant_type'}, {'text': ' type '}, {'text': 'spa', 'entity': 'facility'}]"
BookRestaurant,I need a table for 3 in AK.,"[{'text': 'I need a table for '}, {'text': '3', 'entity': 'party_size_number'}, {'text': ' in '}, {'text': 'AK', 'entity': 'state'}, {'text': '.'}]"
BookRestaurant,book a bar close by with a smoking room in MA,"[{'text': 'book a '}, {'text': 'bar', 'entity': 'restaurant_type'}, {'text': ' '}, {'text': 'close by', 'entity': 'spatial_relation'}, {'text': ' with a '}, {'text': 'smoking room', 'entity': 'facility'}, {'text': ' in '}, {'text': 'MA', 'entity': 'state'}]"
BookRestaurant,me and imelda want a reservation in Missouri at seven am,"[{'text': 'me and imelda', 'entity': 'party_size_description'}, {'text': ' want a reservation in '}, {'text': 'Missouri', 'entity': 'state'}, {'text': ' at '}, {'text': 'seven am', 'entity': 'timeRange'}]"
BookRestaurant,I want a table for five at a place in Russia on 4/4/2036,"[{'text': 'I want a table for '}, {'text': 'five', 'entity': 'party_size_number'}, {'text': ' at a place in '}, {'text': 'Russia', 'entity': 'country'}, {'text': ' on '}, {'text': '4/4/2036', 'entity': 'timeRange'}]"
BookRestaurant,Table for one somewhere in Palco,"[{'text': 'Table for '}, {'text': 'one', 'entity': 'party_size_number'}, {'text': ' somewhere in '}, {'text': 'Palco', 'entity': 'city'}]"
BookRestaurant,Book a reservation for a restaurant in Palau in six years ,"[{'text': 'Book a reservation for a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Palau', 'entity': 'state'}, {'text': ' '}, {'text': 'in six years', 'entity': 'timeRange'}, {'text': ' '}]"
BookRestaurant,Book a table at a brasserie type restaurant that serves jain for a party of 8,"[{'text': 'Book a table at a '}, {'text': 'brasserie', 'entity': 'restaurant_type'}, {'text': ' type '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'jain', 'entity': 'cuisine'}, {'text': ' for a party of '}, {'text': '8', 'entity': 'party_size_number'}]"
BookRestaurant,I want to book a doughnut bar in AMerican Samoa,"[{'text': 'I want to book a '}, {'text': 'doughnut', 'entity': 'served_dish'}, {'text': ' '}, {'text': 'bar', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'AMerican Samoa', 'entity': 'state'}]"
BookRestaurant,book a restaurant this year in Manning,"[{'text': 'book a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' '}, {'text': 'this year', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Manning', 'entity': 'city'}]"
BookRestaurant,I want to find a salami restaurant in Bastian IN,"[{'text': 'I want to find a '}, {'text': 'salami', 'entity': 'served_dish'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Bastian', 'entity': 'city'}, {'text': ' '}, {'text': 'IN', 'entity': 'state'}]"
BookRestaurant,book a restaurant in Montverde in Marshall Islands,"[{'text': 'book a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Montverde', 'entity': 'city'}, {'text': ' in '}, {'text': 'Marshall Islands', 'entity': 'state'}]"
BookRestaurant,I'm looking to book a seat at a bakery that serves coleslaw at 19:44:58.,"[{'text': ""I'm looking to book a seat at a ""}, {'text': 'bakery', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'coleslaw', 'entity': 'served_dish'}, {'text': ' at '}, {'text': '19:44:58', 'entity': 'timeRange'}, {'text': '.'}]"
BookRestaurant,Book a table for nine at Canteen Lunch in the Alley at Midnight,"[{'text': 'Book a table for '}, {'text': 'nine', 'entity': 'party_size_number'}, {'text': ' at '}, {'text': 'Canteen Lunch in the Alley', 'entity': 'restaurant_name'}, {'text': ' at '}, {'text': 'Midnight', 'entity': 'timeRange'}]"
BookRestaurant,Book a reservation for Louisiana Fried Chicken this winter in Taiwan,"[{'text': 'Book a reservation for '}, {'text': 'Louisiana Fried Chicken', 'entity': 'restaurant_name'}, {'text': ' '}, {'text': 'this winter', 'entity': 'timeRange'}, {'text': ' in '}, {'text': 'Taiwan', 'entity': 'country'}]"
BookRestaurant,Please book a brasserie restaurant for eight in Ireland,"[{'text': 'Please book a '}, {'text': 'brasserie restaurant', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'eight', 'entity': 'party_size_number'}, {'text': ' in '}, {'text': 'Ireland', 'entity': 'country'}]"
BookRestaurant,book north indian osteria at 12 am,"[{'text': 'book '}, {'text': 'north indian', 'entity': 'cuisine'}, {'text': ' '}, {'text': 'osteria', 'entity': 'restaurant_type'}, {'text': ' at '}, {'text': '12 am', 'entity': 'timeRange'}]"
BookRestaurant,Book a reservation for seven people at a bar in Kentucky,"[{'text': 'Book a reservation for '}, {'text': 'seven', 'entity': 'party_size_number'}, {'text': ' people at a '}, {'text': 'bar', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Kentucky', 'entity': 'state'}]"
BookRestaurant,I'd like to go to a halal restaurant in twenty minutes around the District Of Columbia and book seats for four,"[{'text': ""I'd like to go to a ""}, {'text': 'halal', 'entity': 'cuisine'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' '}, {'text': 'in twenty minutes', 'entity': 'timeRange'}, {'text': ' '}, {'text': 'around', 'entity': 'spatial_relation'}, {'text': ' the '}, {'text': 'District Of Columbia', 'entity': 'state'}, {'text': ' and book seats for '}, {'text': 'four', 'entity': 'party_size_number'}]"
BookRestaurant,book a spot for 6 at a tea house in Tokelau,"[{'text': 'book a spot for '}, {'text': '6', 'entity': 'party_size_number'}, {'text': ' at a '}, {'text': 'tea house', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Tokelau', 'entity': 'country'}]"
BookRestaurant,I'd like reservations for me and my grandkid at a top-rated restaurant that serves molise cuisine in PA.,"[{'text': ""I'd like reservations for ""}, {'text': 'me and my grandkid', 'entity': 'party_size_description'}, {'text': ' at a '}, {'text': 'top-rated', 'entity': 'sort'}, {'text': ' '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'molise', 'entity': 'cuisine'}, {'text': ' cuisine in '}, {'text': 'PA', 'entity': 'state'}, {'text': '.'}]"
BookRestaurant,"I need a place that serves smelt for a party of 4, preferably a taverna","[{'text': 'I need a place that serves '}, {'text': 'smelt', 'entity': 'served_dish'}, {'text': ' for a party of '}, {'text': '4', 'entity': 'party_size_number'}, {'text': ', preferably a '}, {'text': 'taverna', 'entity': 'restaurant_type'}]"
BookRestaurant,Book a table at Laurie Beechman Theatre for a party of 4 in Utah,"[{'text': 'Book a table at '}, {'text': 'Laurie Beechman Theatre', 'entity': 'restaurant_name'}, {'text': ' for a party of '}, {'text': '4', 'entity': 'party_size_number'}, {'text': ' in '}, {'text': 'Utah', 'entity': 'state'}]"
BookRestaurant,book a spot at a highly rated pub in Woodston,"[{'text': 'book a spot at a '}, {'text': 'highly rated', 'entity': 'sort'}, {'text': ' '}, {'text': 'pub', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Woodston', 'entity': 'city'}]"
BookRestaurant,Book the City Tavern in Holiday KS.,"[{'text': 'Book the '}, {'text': 'City Tavern', 'entity': 'restaurant_name'}, {'text': ' in '}, {'text': 'Holiday', 'entity': 'city'}, {'text': ' '}, {'text': 'KS', 'entity': 'state'}, {'text': '.'}]"
BookRestaurant,Book me seats for 6 at the best brasserie that serves marche neighboring my hostel,"[{'text': 'Book me seats for '}, {'text': '6', 'entity': 'party_size_number'}, {'text': ' at the '}, {'text': 'best', 'entity': 'sort'}, {'text': ' '}, {'text': 'brasserie', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'marche', 'entity': 'cuisine'}, {'text': ' '}, {'text': 'neighboring', 'entity': 'spatial_relation'}, {'text': ' '}, {'text': 'my hostel', 'entity': 'poi'}]"
BookRestaurant,Book a table at a restaurant in Portugal with parking for me and bonnie in 19 minutes,"[{'text': 'Book a table at a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Portugal', 'entity': 'country'}, {'text': ' with '}, {'text': 'parking', 'entity': 'facility'}, {'text': ' for '}, {'text': 'me and bonnie', 'entity': 'party_size_description'}, {'text': ' '}, {'text': 'in 19 minutes', 'entity': 'timeRange'}]"
BookRestaurant,I would like to book at Clinton Street Baking Company & Restaurant in Brookneal.,"[{'text': 'I would like to book at '}, {'text': 'Clinton Street Baking Company & Restaurant', 'entity': 'restaurant_name'}, {'text': ' in '}, {'text': 'Brookneal', 'entity': 'city'}, {'text': '.'}]"
BookRestaurant,Make a reservation for 7 people at a gastropub on Isle of Man.,"[{'text': 'Make a reservation for '}, {'text': '7', 'entity': 'party_size_number'}, {'text': ' people at a '}, {'text': 'gastropub', 'entity': 'restaurant_type'}, {'text': ' on '}, {'text': 'Isle of Man', 'entity': 'country'}, {'text': '.'}]"
BookRestaurant,I'd like a table for 6 at a restaurant in Denmark at 22,"[{'text': ""I'd like a table for ""}, {'text': '6', 'entity': 'party_size_number'}, {'text': ' at a '}, {'text': 'restaurant', 'entity': 'restaurant_type'}, {'text': ' in '}, {'text': 'Denmark', 'entity': 'country'}, {'text': ' at '}, {'text': '22', 'entity': 'timeRange'}]"
BookRestaurant,I want to book an oyster bar for five people.,"[{'text': 'I want to book an '}, {'text': 'oyster bar', 'entity': 'restaurant_type'}, {'text': ' for '}, {'text': 'five', 'entity': 'party_size_number'}, {'text': ' people.'}]"
BookRestaurant,get me a reservation at a brasserie that serves jain in Pinto,"[{'text': 'get me a reservation at a '}, {'text': 'brasserie', 'entity': 'restaurant_type'}, {'text': ' that serves '}, {'text': 'jain', 'entity': 'cuisine'}, {'text': ' in '}, {'text': 'Pinto', 'entity': 'city'}]"
BookRestaurant,book a spot for 10 in the same area  of Inwood - 207th St,"[{'text': 'book a spot for '}, {'text': '10', 'entity': 'party_size_number'}, {'text': ' '}, {'text': 'in the same area', 'entity': 'spatial_relation'}, {'text': '  of '}, {'text': 'Inwood - 207th St', 'entity': 'poi'}]"
BookRestaurant,book a spot in the same area as Yankee Doodle Coffee Shop in Madagascar,"[{'text': 'book a spot '}, {'text': 'in the same area', 'entity': 'spatial_relation'}, {'text': ' as '}, {'text': 'Yankee Doodle Coffee Shop', 'entity': 'restaurant_name'}, {'text': ' in '}, {'text': 'Madagascar', 'entity': 'country'}]"
AddToPlaylist,Add Chamberlain Waits to my picnic in the park,"[{'text': 'Add '}, {'text': 'Chamberlain Waits', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'picnic in the park', 'entity': 'playlist'}]"
AddToPlaylist,Add John Tesh to my salsa classics playlist,"[{'text': 'Add '}, {'text': 'John Tesh', 'entity': 'artist'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'salsa classics', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,add Love Story wa Totsuzen ni to the martin garrix show playlist,"[{'text': 'add '}, {'text': 'Love Story wa Totsuzen ni', 'entity': 'entity_name'}, {'text': ' to '}, {'text': 'the martin garrix show', 'entity': 'playlist'}, {'text': ' playlist'}]"
AddToPlaylist,Add this tune to my Indie Reflection Playlist,"[{'text': 'Add this '}, {'text': 'tune', 'entity': 'music_item'}, {'text': ' to '}, {'text': 'my', 'entity': 'playlist_owner'}, {'text': ' '}, {'text': 'Indie Reflection', 'entity': 'playlist'}, {'text': ' Playlist'}]"
